name,wal_level,mode,compression,width,jobs,wal_buffers,images,rows,elapsed_s,rows_per_s,wal_records,wal_fpi,wal_bytes,wal_fpi_bytes,wal_bytes_per_row,wal_to_heap_ratio,wal_MB_per_s,wal_buffers_full,wal_io_writes,wal_io_write_time_ms,wal_io_fsyncs,wal_io_fsync_time_ms,heap_bytes
rand_img_zstd_j4_r2,replica,existing,zstd,rand,4,16MB,on,600000,1.284,467289,93638,76808,485444887,417279035,809.1,0.69,360.6,50245,50257,84.0,33,212.1,702971904
rand_img_lz4_j4_r2,replica,existing,lz4,rand,4,16MB,on,600000,0.778,771208,93874,76803,612228685,544014497,1020.4,0.87,750.5,67590,67598,105.6,39,264.6,702447616
wide_replica_j1_r3,replica,existing,off,wide,1,16MB,off,600000,1.272,471698,93534,27,612113685,216852,1020.2,0.87,458.9,744,824,43.8,80,286.9,702676992
wide_zstd_j1_r3,replica,existing,zstd,wide,1,16MB,off,600000,1.259,476568,93534,27,611901040,4201,1019.8,0.87,463.5,2532,2609,46.2,78,274.7,702676992
wide_img_j1_r3,replica,existing,off,wide,1,16MB,on,600000,1.266,473933,93534,76650,627237324,557725032,1045.4,0.89,472.5,1013,1093,46.5,81,281.3,702676992
wide_img_zstd_j1_r3,replica,existing,zstd,wide,1,16MB,on,600000,1.707,351493,93534,76650,99654507,29988963,166.1,0.14,55.7,0,51,7.5,51,54.8,702676992
wide_img_lz4_j1_r3,replica,existing,lz4,wide,1,16MB,on,600000,1.095,547945,93534,76650,121123020,51457476,201.9,0.17,105.5,0,51,8.9,51,63.1,702676992
wide_replica_j4_r3,replica,existing,off,wide,4,16MB,off,600000,0.741,809716,94011,27,612134172,210272,1020.2,0.87,787.8,66799,66809,105.8,42,271.3,702283776
wide_img_zstd_j4_r3,replica,existing,zstd,wide,4,16MB,on,600000,0.652,920245,93867,76672,99359170,29830514,165.6,0.14,145.3,0,22,8.4,22,47.8,702251008
wide_img_lz4_j4_r3,replica,existing,lz4,wide,4,16MB,on,600000,0.465,1290322,94055,76677,120692271,51188324,201.2,0.17,247.5,0,20,9.8,20,54.9,702365696
narrow_replica_j1_r3,replica,existing,off,narrow,1,16MB,off,10000000,1.813,5515719,63803,18,245135623,136628,24.5,0.55,128.9,0,44,18.0,44,117.8,443154432
narrow_img_zstd_j1_r3,replica,existing,zstd,narrow,1,16MB,on,10000000,2.680,3731343,63803,44073,107649925,57946741,10.8,0.24,38.3,0,37,8.5,37,72.7,443154432
narrow_img_lz4_j1_r3,replica,existing,lz4,narrow,1,16MB,on,10000000,2.007,4982561,63803,44073,190849089,141145905,19.1,0.43,90.7,0,40,14.5,40,87.6,443154432
narrow_replica_j4_r3,replica,existing,off,narrow,4,16MB,off,10000000,0.643,15552099,63980,18,245303777,140528,24.5,0.55,363.8,24905,24913,41.0,19,106.9,443219968
narrow_img_zstd_j4_r3,replica,existing,zstd,narrow,4,16MB,on,10000000,0.934,10706638,63958,44122,107580365,57983184,10.8,0.24,109.8,0,17,9.1,17,99.0,443252736
narrow_img_lz4_j4_r3,replica,existing,lz4,narrow,4,16MB,on,10000000,0.673,14858841,63991,44134,190761950,141177116,19.1,0.43,270.3,9949,9966,25.3,20,81.6,443285504
rand_replica_j1_r3,replica,existing,off,rand,1,16MB,off,600000,1.259,476568,93420,27,608442835,211536,1014.1,0.87,460.9,2025,2104,45.6,80,273.7,702316544
rand_img_zstd_j1_r3,replica,existing,zstd,rand,1,16MB,on,600000,3.373,177883,93420,76786,485535216,417226717,809.2,0.69,137.3,0,75,35.5,75,225.0,702316544
rand_img_lz4_j1_r3,replica,existing,lz4,rand,1,16MB,on,600000,1.531,391900,93420,76786,612253544,543945045,1020.4,0.87,381.4,1334,1410,46.5,77,281.2,702316544
rand_replica_j4_r3,replica,existing,off,rand,4,16MB,off,600000,0.720,833333,93936,27,608469318,209392,1014.1,0.87,805.9,65781,65790,103.7,45,263.9,702251008
rand_img_zstd_j4_r3,replica,existing,zstd,rand,4,16MB,on,600000,1.328,451807,93636,76814,485508925,417385483,809.2,0.69,348.7,51976,51987,85.3,34,212.5,702513152
rand_img_lz4_j4_r3,replica,existing,lz4,rand,4,16MB,on,600000,0.782,767263,93900,76820,612228606,544132572,1020.4,0.87,746.6,64312,64322,103.2,44,269.7,702414848
